t0,exact_stratum,probability_scale_caliper,n_treated_in_stratum,n_controls_in_stratum,dense_assignment_entries,candidate_real_edges,candidate_edges_plus_dummies,dense_entry_cap,requires_sparse_solver,sparse_edge_cap,would_fail_current_matcher,treated_pscore_min,treated_pscore_max,control_pscore_min,control_pscore_max
2012,"{""lag1_age_band"": ""25-29"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,4,1817,7284,10,14,5000000,False,100000000,False,0.12207103791315696,0.24681247760659256,1e-06,0.5267309627923655
2012,"{""lag1_age_band"": ""80-84"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,5,168252,841285,841148,841153,5000000,False,100000000,False,0.0002569497037787294,0.000904267852093076,1e-06,0.08055075806704713
2012,"{""lag1_age_band"": ""20-24"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,24,452029,10849272,3296,3320,5000000,True,100000000,False,0.10802077247285033,0.1818225453392569,1e-06,0.3228213746638349
2012,"{""lag1_age_band"": ""70-74"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,3,2593,7788,7769,7772,5000000,False,100000000,False,0.00046005644922365846,0.0010397488400723824,1e-06,0.05981547465392478
2012,"{""lag1_age_band"": ""20-24"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,2,773,1550,1,3,5000000,False,100000000,False,0.2297041055830553,0.5462004399482874,1e-06,0.39292858111175394
2012,"{""lag1_age_band"": ""85-89"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,1,66,67,66,67,5000000,False,100000000,False,0.0012838491836719632,0.0012838491836719632,1e-06,0.002059562523150234
2012,"{""lag1_age_band"": ""85-89"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,1,68069,68070,68069,68070,5000000,False,100000000,False,0.000748815119287128,0.000748815119287128,1e-06,0.003362058310770952
2013,"{""lag1_age_band"": ""45-49"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,2207,652081,1444013616,50709753,50711960,5000000,True,100000000,False,0.0005695903441186045,0.23086033700279118,1e-06,0.2740843192607653
2013,"{""lag1_age_band"": ""35-39"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,1410,452394,639863640,14951250,14952660,5000000,True,100000000,False,0.0013949131023387783,0.2528737899955319,1e-06,0.25718893413035343
2013,"{""lag1_age_band"": ""40-44"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,2026,558231,1135080682,31440076,31442102,5000000,True,100000000,False,0.0007178019552179976,0.23499135254819517,1e-06,0.2432484527411608
2013,"{""lag1_age_band"": ""30-34"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,1106,480273,532405174,8080268,8081374,5000000,True,100000000,False,0.0011756332194621576,0.2706688689064616,1e-06,0.2702175260021596
2013,"{""lag1_age_band"": ""45-49"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,2209,706027,1564493324,56954927,56957136,5000000,True,100000000,False,0.0005272989435672671,0.23209658927034357,1e-06,0.22517562268846852
2013,"{""lag1_age_band"": ""55-59"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,566,522768,296207044,32539806,32540372,5000000,True,100000000,False,0.0005892449631509451,0.20760403492218493,1e-06,0.3148002089161847
2013,"{""lag1_age_band"": ""50-54"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,1468,611587,899964740,50611461,50612929,5000000,True,100000000,False,0.0004586866000928051,0.21925896918133028,1e-06,0.2191143259678409
2013,"{""lag1_age_band"": ""50-54"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,1876,652427,1227472428,59563588,59565464,5000000,True,100000000,False,0.0002701518961608969,0.21770060857339052,1e-06,0.2175437097955679
2013,"{""lag1_age_band"": ""40-44"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,1643,605069,996827816,25751713,25753356,5000000,True,100000000,False,0.0010635327396500737,0.22283432541817602,1e-06,0.2636982944723192
2013,"{""lag1_age_band"": ""35-39"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,1088,482439,526077376,6108200,6109288,5000000,True,100000000,False,0.0012382517683210276,0.23916738032799012,1e-06,0.2633949110525066
2013,"{""lag1_age_band"": ""25-29"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,256,487025,124743936,642536,642792,5000000,True,100000000,False,0.0012331773844726122,0.21592399664577133,1e-06,0.2756588154882826
2013,"{""lag1_age_band"": ""60-64"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,427,493006,210695891,77296077,77296504,5000000,True,100000000,False,0.0002800170545807814,0.17203577409533344,1e-06,0.2790909412875043
2013,"{""lag1_age_band"": ""30-34"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,656,503209,330535440,2974543,2975199,5000000,True,100000000,False,0.002075744587344443,0.24552546563558603,1e-06,0.25932309763172623
2013,"{""lag1_age_band"": ""55-59"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,924,542611,502226340,44996942,44997866,5000000,True,100000000,False,0.0003494526792942632,0.19055111779566816,1e-06,0.20566601934232037
2013,"{""lag1_age_band"": ""65-69"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,133,405722,53978715,51924521,51924654,5000000,True,100000000,False,0.00021265539472862957,0.09857001808882264,1e-06,0.1286515643259307
2013,"{""lag1_age_band"": ""50-54"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,145,17427,2547940,127695,127840,5000000,False,100000000,False,0.0010062016040347124,0.3411697198670629,1e-06,0.46380607547616387
2013,"{""lag1_age_band"": ""45-49"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,168,13482,2293200,64493,64661,5000000,False,100000000,False,0.002878011083829344,0.4036205726986374,1e-06,0.5135704467542858
2013,"{""lag1_age_band"": ""35-39"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,63,4926,314307,11010,11073,5000000,False,100000000,False,0.006118393955960852,0.40361785377548987,1e-06,0.5244019312689
2013,"{""lag1_age_band"": ""25-29"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,470,461688,217214260,408045,408515,5000000,True,100000000,False,0.04813600768838206,0.24094929621385797,1e-06,0.2814672146987172
2013,"{""lag1_age_band"": ""65-69"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,241,393922,94993283,91756945,91757186,5000000,True,100000000,False,0.0001564014200162478,0.12271369417103244,1e-06,0.16570684217280812
2013,"{""lag1_age_band"": ""60-64"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,38,14212,541500,113526,113564,5000000,False,100000000,False,0.0007701973143542765,0.32148100611263475,1e-06,0.3422218721969765
2013,"{""lag1_age_band"": ""40-44"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,106,8582,920928,61449,61555,5000000,False,100000000,False,0.002715265842838009,0.5014732881501229,1e-06,0.6933204483267564
2013,"{""lag1_age_band"": ""20-24"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,78,415168,32389188,16341,16419,5000000,True,100000000,False,0.08707416468326402,0.2884492970428208,1e-06,0.26331139659018155
2013,"{""lag1_age_band"": ""40-44"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,105,8359,888720,14088,14193,5000000,False,100000000,False,0.0054916621588413286,0.42927644732100034,1e-06,0.5205867721296304
2013,"{""lag1_age_band"": ""50-54"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,113,17499,1990156,56144,56257,5000000,False,100000000,False,0.0014307158279337501,0.3957623349163363,1e-06,0.507726443918531
2013,"{""lag1_age_band"": ""70-74"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,115,435446,50089515,50064511,50064626,5000000,True,100000000,False,0.00011699303463555348,0.001283476918270094,1e-06,0.08744890231600862
2013,"{""lag1_age_band"": ""45-49"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,168,14480,2460864,65094,65262,5000000,False,100000000,False,0.0036707718450267705,0.4172523866069645,1e-06,0.5705917728079236
2013,"{""lag1_age_band"": ""60-64"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,268,494962,132721640,47502401,47502669,5000000,True,100000000,False,0.0002772210957815662,0.18443158954057856,1e-06,0.19328906830158835
2013,"{""lag1_age_band"": ""55-59"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,52,16988,886080,135201,135253,5000000,False,100000000,False,0.0005960815637420185,0.3704622230091871,1e-06,0.3917590969954228
2013,"{""lag1_age_band"": ""20-24"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,29,441509,12804602,2525,2554,5000000,True,100000000,False,0.09576422216701341,0.23820587410851482,1e-06,0.271096151074505
2013,"{""lag1_age_band"": ""30-34"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,28,4244,119616,8683,8711,5000000,False,100000000,False,0.005497955406724972,0.7599431187204285,1e-06,0.44341914204579913
2013,"{""lag1_age_band"": ""80-84"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,8,170315,1362584,1362410,1362418,5000000,False,100000000,False,7.356717452881745e-05,0.0006630927921495588,1e-06,0.059719050449720694
2013,"{""lag1_age_band"": ""70-74"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,49,480923,23567628,23563852,23563901,5000000,True,100000000,False,0.00022435870808901363,0.0016943641173107924,1e-06,0.11201071504912483
2013,"{""lag1_age_band"": ""60-64"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,25,10891,272900,55541,55566,5000000,False,100000000,False,0.0010907719470505007,0.501834752329543,1e-06,0.36521167452296277
2013,"{""lag1_age_band"": ""30-34"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,38,3929,150746,617,655,5000000,False,100000000,False,0.12407058024925911,0.44042873843883434,1e-06,0.45106172019292834
2013,"{""lag1_age_band"": ""35-39"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,77,4692,367213,6620,6697,5000000,False,100000000,False,0.008205673345471162,0.49719369251549045,1e-06,0.5601738201985779
2013,"{""lag1_age_band"": ""25-29"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,14,2691,37870,83,97,5000000,False,100000000,False,0.15161191177194488,0.5187511532359741,1e-06,0.48066417705433745
2013,"{""lag1_age_band"": ""55-59"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,75,18680,1406625,131614,131689,5000000,False,100000000,False,0.003460397962599514,0.35909789406310527,1e-06,0.35107930048094776
2013,"{""lag1_age_band"": ""65-69"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,3,3654,10971,10955,10958,5000000,False,100000000,False,0.0008868010037395141,0.0026218718166847238,1e-06,0.019248394215274394
2013,"{""lag1_age_band"": ""85-89"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,1,164866,164867,164866,164867,5000000,False,100000000,False,0.0005366572871482494,0.0005366572871482494,1e-06,0.0016723964431720757
2013,"{""lag1_age_band"": ""75-79"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,30,307747,9233310,9230307,9230337,5000000,True,100000000,False,0.00018852584516659758,0.0008684094498303791,1e-06,0.14772826447920998
2013,"{""lag1_age_band"": ""65-69"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,4,4242,16984,16932,16936,5000000,False,100000000,False,0.0005130057623989999,0.0031081072486200114,1e-06,0.01966828585371404
2013,"{""lag1_age_band"": ""25-29"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,6,3123,18774,22,28,5000000,False,100000000,False,0.24055329454338376,0.4304351044031731,1e-06,0.45210457580151503
2013,"{""lag1_age_band"": ""20-24"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""2""}",0.01,4,1297,5204,4,8,5000000,False,100000000,False,0.1798544680025021,0.4164095523997784,1e-06,0.4434157950202482
2013,"{""lag1_age_band"": ""75-79"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,15,375716,5635965,5635467,5635482,5000000,True,100000000,False,0.00018255558305556362,0.0008385336191502345,1e-06,0.05738032650180283
2013,"{""lag1_age_band"": ""75-79"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,1,2373,2374,2370,2371,5000000,False,100000000,False,0.0007483425120956767,0.0007483425120956767,1e-06,0.020682794924386676
2013,"{""lag1_age_band"": ""70-74"", ""lag1_ever_rehab_to_date"": ""1"", ""lag1_ge_cat"": ""1""}",0.01,2,4570,9144,9130,9132,5000000,False,100000000,False,0.000863313436043617,0.001297784569856606,1e-06,0.04871726955095002
2013,"{""lag1_age_band"": ""80-84"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,1,257157,257158,257156,257157,5000000,False,100000000,False,0.0005387175969727031,0.0005387175969727031,1e-06,0.04693543432334585
2014,"{""lag1_age_band"": ""30-34"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,619,504931,312935450,1757424,1758043,5000000,True,100000000,False,0.0029029190347136286,0.3591733270893959,1e-06,0.3557884304643824
2014,"{""lag1_age_band"": ""45-49"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,1928,683661,1321815592,45001867,45003795,5000000,True,100000000,False,0.0006799058417466699,0.32464959084502737,1e-06,0.3231715132392015
2014,"{""lag1_age_band"": ""35-39"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,1024,481847,494459904,10726898,10727922,5000000,True,100000000,False,0.0023949156569123553,0.3661886823915519,1e-06,0.3851617959487109
2014,"{""lag1_age_band"": ""30-34"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,1100,479672,528849200,6650466,6651566,5000000,True,100000000,False,0.002750075444019061,0.359880783271117,1e-06,0.4036038346721231
2014,"{""lag1_age_band"": ""50-54"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,1770,654211,1161086370,54191456,54193226,5000000,True,100000000,False,0.000272399750409614,0.2816744069120938,1e-06,0.29083678625638254
2014,"{""lag1_age_band"": ""45-49"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,1944,627594,1223821872,45829516,45831460,5000000,True,100000000,False,0.0007108824434668848,0.3161336842850046,1e-06,0.33010941556817125
2014,"{""lag1_age_band"": ""50-54"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,1414,611205,866243266,48295550,48296964,5000000,True,100000000,False,0.000469368914573858,0.3006153327674864,1e-06,0.2881568542679588
2014,"{""lag1_age_band"": ""35-39"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,1325,450991,599318700,10610061,10611386,5000000,True,100000000,False,0.0010341532152807259,0.35197539831706065,1e-06,0.3805375464376374
2014,"{""lag1_age_band"": ""55-59"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""2""}",0.01,596,516028,307907904,38279724,38280320,5000000,True,100000000,False,0.00047806106799219104,0.2569459354579284,1e-06,0.28499890049540505
2014,"{""lag1_age_band"": ""65-69"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,239,390248,93326393,87781196,87781435,5000000,True,100000000,False,8.760656271724055e-05,0.11461196367164428,1e-06,0.15576934397592473
2014,"{""lag1_age_band"": ""80-84"", ""lag1_ever_rehab_to_date"": ""0"", ""lag1_ge_cat"": ""1""}",0.01,6,171035,1026246,1026135,1026141,5000000,False,100000000,False,0.00012629781529706276,0.0006427452284550085,1e-06,0.0447059476518642
